iid	pop	max_roh	sum_roh>4	n_roh>4	sum_roh>8	n_roh>8	sum_roh>12	n_roh>12	sum_roh>20	n_roh>20	lat	lon	age	study	clst	mean_cov	n_cov_snp	include_alt	region	color	economy
I7289	Czech_BellBeaker_sibling.I7214	0.0	0.0	0	0.0	0	0.0	0	0.0	0	50.410265	14.074597	4287.0	OlaldeNature2018	Czech_BellBeaker_sibling.I7214	3.202805	767739	1	Central Europe	blue	Agriculture
I11737	Kazakhstan_Mereke_MBA	0.0	0.0	0	0.0	0	0.0	0	0.0	0	50.77023611	49.34004167	4064.0	NarasimhanPattersonScience2019	Kazakhstan_Mereke_MBA	4.010802	767737	1	Steppe	gold	Pastoralism
KBD002	Russia_North_Caucasus_MBA_rel.KBD001	0.0	0.0	0	0.0	0	0.0	0	0.0	0	43.826337	42.716198999999996	4057.0	WangNatureCommunications2019	Russia_North_Caucasus_MBA_rel.KBD001	2.6890549999999998	767709	1	Steppe	gold	Pastoralism
I7198	Czech_EBA	0.0	0.0	0	0.0	0	0.0	0	0.0	0	50.0504153	14.3667267	4034.0	OlaldeNature2018	Czech_EBA	3.78456	767682	1	Central Europe	blue	Agriculture
I5427	Greece_N	6.534803	11.028004000000005	2	0.0	0	0.0	0	0.0	0	36.63833333	22.3825	7892.0	MathiesonNature2018	Greece_N	1.736	767650	1	Aegan	blue	Agriculture
I2364	Hungary_EBA_BellBeaker	0.0	0.0	0	0.0	0	0.0	0	0.0	0	47.59916	19.054560000000002	4215.0	OlaldeNature2018	Hungary_EBA_BellBeaker	1.794	767419	1	Eastern Europe	blue	Agriculture
I3947	Croatia_N_Cardial	6.751405999999991	12.184106999999988	2	0.0	0	0.0	0	0.0	0	43.589	16.648	7836.0	MathiesonNature2018	Croatia_N_Cardial	3.467	767253	1	Balkans	blue	Agriculture
I2533	Romania_EN	4.803586000000015	13.04998300000001	3	0.0	0	0.0	0	0.0	0	44.266667	23.9	7378.0	MathiesonNature2018	Romania_EN	4.171	766906	1	Balkans	blue	Agriculture
I10000	Pakistan_IA_Loebanr	12.559500000000002	17.737695000000002	2	12.559500000000002	1	12.559500000000002	1	0.0	0	34.75146111	72.40193611	2850.0	NarasimhanPattersonScience2019	Pakistan_IA_Loebanr	1.6810049999999999	766731	1	Central Asia	blue	Agriculture
R117.SG	Italy_LA.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	41.755225700000004	12.294892599999999	1450.0	AntonioGaoMootsScience2019	Italy_LA.SG	1.040666	766088	1	Central Italy	blue	Agriculture
I7579	England_MBA_sister.I1780	0.0	0.0	0	0.0	0	0.0	0	0.0	0	52.122402	-0.511365	3400.0	OlaldeNature2018	England_MBA_sister.I1780	3.3414309999999996	766013	1	Britain	blue	Agriculture
I4630	Latvia_HG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	56.2833	25.1333	9222.0	MathiesonNature2018	Latvia_HG	2.426	765342	1	Baltic Sea	purple	Foraging
I7276	Czech_BellBeaker	7.7847	14.7239	2	0.0	0	0.0	0	0.0	0	50.19	14.158	4200.0	OlaldeNature2018	Czech_BellBeaker	3.2884269999999995	765003	1	Central Europe	blue	Agriculture
I4189	Hungary_C_Balaton_Lasinja	0.0	0.0	0	0.0	0	0.0	0	0.0	0	46.204522999999995	18.729916	6050.0	LipsonNature2017	Hungary_C_Balaton_Lasinja	1.806	764910	1	Balkans	blue	Agriculture
I6900	Pakistan_IA_Udegram	0.0	0.0	0	0.0	0	0.0	0	0.0	0	34.74319444	72.31421667	3213.0	NarasimhanPattersonScience2019	Pakistan_IA_Udegram	2.11586	764737	1	Central Asia	blue	Agriculture
I1734	Ukraine_N	7.706199000000002	15.275690999999993	2	0.0	0	0.0	0	0.0	0	47.434166999999995	35.276389	9202.0	MathiesonNature2018	Ukraine_N	4.048	764467	1	Black Sea	purple	Foraging
I4419	Vanuatu_150BP	7.9874	7.9874	1	0.0	0	0.0	0	0.0	0	-17.80178056	168.52277780000003	140.0	LipsonCurrentBiology2018	Vanuatu_150BP	3.842	763556	1	Vanuatu	blue	Agriculture
I0563	Kazakhstan_IA_Berel_Pazyryk	0.0	0.0	0	0.0	0	0.0	0	0.0	0	49.3356	86.350367	2300.0	UnterlanderNatureCommunications2017	Kazakhstan_IA_Berel_Pazyryk	1.3459999999999999	763331	1	Steppe	gold	Pastoralism
I1877_all	Hungary_EN_Starcevo_all	4.174005999999997	4.174005999999997	1	0.0	0	0.0	0	0.0	0	46.208562	18.700047	7580.0	LipsonNature2017	Hungary_EN_Starcevo_all	1.547	763053	1	Balkans	blue	Agriculture
I11732	Kazakhstan_Kumsay_EBA	24.92591200000001	65.89282200000002	7	50.84081400000001	4	24.92591200000001	1	24.92591200000001	1	49.49	58.51	4945.0	NarasimhanPattersonScience2019	Kazakhstan_Kumsay_EBA	2.797116	762379	1	Steppe	gold	Pastoralism
CL38	Italy_North_EarlyMedieval_Langobards	0.0	0.0	0	0.0	0	0.0	0	0.0	0	45.0792	7.5783	1345.0	AmorimNatureCommunications2018	Italy_North_EarlyMedieval_Langobards	2.0934049999999997	762112	1	Central Europe	blue	Agriculture
SUC005	Sar-EMBA	0.0	0.0	0	0.0	0	0.0	0	0.0	0	40.810297	8.444177999999999	4161.0	Marcus et al. 2018	Sar-EMBA	1.60838353633881	761939	1	Sardinia	blue	Agriculture
I2635	Scotland_N	19.4211	24.123096	2	19.4211	1	19.4211	1	0.0	0	58.53	-3.603	5471.0	OlaldeNature2018	Scotland_N	3.22	761604	1	Britain	blue	Agriculture
I4073	Netherlands_BellBeaker	8.222199999999999	8.222199999999999	1	8.222199999999999	1	0.0	0	0.0	0	52.733563000000004	5.096183	4000.0	OlaldeNature2018	Netherlands_BellBeaker	3.138	761432	1	Central Europe	blue	Agriculture
I7782	Russia_UstBelaya_Angara	31.34750200000001	73.24199100000003	9	40.75849100000002	2	31.34750200000001	1	31.34750200000001	1	52.916943999999994	103.65722199999999	4630.0	FlegontovNature2019	Russia_UstBelaya_Angara	1.713257	761068	1	East Steppe	purple	Foraging
I2604	England_C_EBA	5.152796999999998	9.403497000000003	2	0.0	0	0.0	0	0.0	0	51.15	-1.36	4070.0	OlaldeNature2018	England_C_EBA	2.1785490000000003	760401	1	Britain	blue	Agriculture
I12984	Pakistan_IA_Loebanr	8.771598000000003	8.771598000000003	1	8.771598000000003	1	0.0	0	0.0	0	34.75146111	72.40193611	2850.0	NarasimhanPattersonScience2019	Pakistan_IA_Loebanr	2.2800580000000004	760311	1	Central Asia	blue	Agriculture
SUC004	Sar-EMBA	11.566794000000002	11.566794000000002	1	11.566794000000002	1	0.0	0	0.0	0	40.810297	8.444177999999999	4171.0	Marcus et al. 2018	Sar-EMBA	1.55554068088532	759383	1	Sardinia	blue	Agriculture
LugarCanto41.SG	Iberia_MN.SG	5.118901000000002	5.118901000000002	1	0.0	0	0.0	0	0.0	0			5950.0	MartinianoPLoSGenetics2017	Iberia_MN.SG	1.0886360000000002	759210	1	Iberia	blue	Agriculture
I1096	Anatolia_N	11.674702000000005	11.674702000000005	1	11.674702000000005	1	0.0	0	0.0	0	40.3037	29.6085	8300.0	MathiesonNature2015	Anatolia_N	2.865	759115	1	Aegan	blue	Agriculture
Latvia_MN2.SG	Latvia_MN_Comb_Ware.SG	15.013498	42.86609200000001	5	27.260798	2	27.260798	2	0.0	0	56.2833	25.1333	5965.0	JonesCurrentBiology2017	Latvia_MN_Comb_Ware.SG	1.099	758978	1	Baltic Sea	purple	Foraging
I4258	Tajikistan_BA_DashtiKozy	5.906504000000003	10.207098000000004	2	0.0	0	0.0	0	0.0	0	39.44805556	68.03138889	3513.0	NarasimhanPattersonScience2019	Tajikistan_BA_DashtiKozy	3.235	758945	1	Central Asia	gold	Pastoralism
I4439	Latvia_HG	8.665102999999982	58.81221499999998	8	41.789308999999975	5	0.0	0	0.0	0	56.2833	25.1333	7648.0	MathiesonNature2018	Latvia_HG	3.781	758805	1	Baltic Sea	purple	Foraging
I7671	Russia_Poltavka	5.845607000000008	14.244415	3	0.0	0	0.0	0	0.0	0	53.16638889	50.67361111	4733.0	NarasimhanPattersonScience2019	Russia_Poltavka	1.6822849999999998	758722	1	Steppe	gold	Pastoralism
ORC006	Sar-Nur	0.0	0.0	0	0.0	0	0.0	0	0.0	0	39.667222	9.426111	3126.0	Marcus et al. 2018	Sar-Nur	1.68836724758148	758707	1	Sardinia	blue	Agriculture
I4451_all	Vanuatu_2300BP_all	5.5094959999999915	5.5094959999999915	1	0.0	0	0.0	0	0.0	0	-17.689401	168.289509	2260.0	LipsonCurrentBiology2018	Vanuatu_2300BP_all	1.549016	758513	1	Vanuatu	blue	Agriculture
I2369	Hungary_LateC_Baden	0.0	0.0	0	0.0	0	0.0	0	0.0	0	47.620940000000004	19.04494	5185.0	LipsonNature2017	Hungary_LateC_Baden	1.6640000000000001	758484	1	Eastern Europe	blue	Agriculture
I12485	Turkmenistan_C_Geoksyur	0.0	0.0	0	0.0	0	0.0	0	0.0	0	37.1907	61.0343	5100.0	NarasimhanPattersonScience2019	Turkmenistan_C_Geoksyur	2.210772	758188	1	Central Asia	blue	Agriculture
R51.SG	Italy_Imperial.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	41.84415300000001	12.549010699999998	1750.0	AntonioGaoMootsScience2019	Italy_Imperial.SG	1.068856	758006	1	Central Italy	blue	Agriculture
I4438	Latvia_HG	11.067092	49.52367800000002	8	21.329891	2	0.0	0	0.0	0	56.2833	25.1333	7291.0	MathiesonNature2018	Latvia_HG	3.815	757881	1	Baltic Sea	purple	Foraging
NEO251.SG	Ekven_IA.SG	23.085391999999967	137.97878799999998	17	66.97038699999996	5	38.660293999999965	2	23.085391999999967	1	66.0	-170.1	2005.0	SikoraNature2019	Ekven_IA.SG	1.05275	757244	1	Bering Sea	purple	Foraging
I11027	Uzbekistan_BA_Bustan	0.0	0.0	0	0.0	0	0.0	0	0.0	0	37.66666667	67.0	3542.0	NarasimhanPattersonScience2019	Uzbekistan_BA_Bustan	2.4148419999999997	757100	1	Central Asia	blue	Agriculture
I7251	Czech_BellBeaker	0.0	0.0	0	0.0	0	0.0	0	0.0	0	50.19	14.158	4200.0	OlaldeNature2018	Czech_BellBeaker	3.469236	756643	1	Central Europe	blue	Agriculture
SZ28	Hungary_Langobard	0.0	0.0	0	0.0	0	0.0	0	0.0	0	46.28333333	17.85	1442.0	AmorimNatureCommunications2018	Hungary_Langobard	2.3300650000000003	756041	1	Balkans	blue	Agriculture
I1097	Anatolia_N	0.0	0.0	0	0.0	0	0.0	0	0.0	0	40.3037	29.6085	8288.0	MathiesonNature2015	Anatolia_N	2.125	755758	1	Aegan	blue	Agriculture
I3951	Russia_Afanasievo_sister.I3950	20.727896999999995	50.117594	5	30.814696	2	20.727896999999995	1	20.727896999999995	1	48.832683	83.90974399999998	4709.0	NarasimhanPattersonScience2019	Russia_Afanasievo_sister.I3950	3.742	755085	1	Steppe	gold	Pastoralism
I7045	Hungary_EBA_BellBeaker	5.801898000000005	10.928899000000005	2	0.0	0	0.0	0	0.0	0	47.429953999999995	19.051966	4267.0	OlaldeNature2018	Hungary_EBA_BellBeaker	3.967626	755038	1	Eastern Europe	blue	Agriculture
SZ19	Hungary_Langobard	0.0	0.0	0	0.0	0	0.0	0	0.0	0	46.28333333	17.85	1463.0	AmorimNatureCommunications2018	Hungary_Langobard	2.252753	754662	1	Balkans	blue	Agriculture
I3977	Kazakhstan_LBA_Zevakinskiy	35.819	73.421406	5	60.893403	3	48.954802	2	35.819	1	50.2249	81.83678333	3013.0	NarasimhanPattersonScience2019	Kazakhstan_LBA_Zevakinskiy	1.7990000000000002	754202	1	Steppe	gold	Pastoralism
scy301.SG	Moldova_Scythian.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	46.6684	29.8001	2248.0	KrzewinskaScienceAdvances2018	Moldova_Scythian.SG	1.036558	754048	1	Black Sea	gold	Pastoralism
I13979	Tanzania_PN	7.540805000000006	17.007501	3	0.0	0	0.0	0	0.0	0	-3.48	35.35	2516.0	PrendergastLipsonSawchukScience2019	Tanzania_PN	2.564859	753713	1	East Africa	gold	Pastoralism
I7211	Czech_BellBeaker	0.0	0.0	0	0.0	0	0.0	0	0.0	0	50.410265	14.074597	4170.0	OlaldeNature2018	Czech_BellBeaker	4.036155	753333	1	Central Europe	blue	Agriculture
vik_84005.SG	Sweden_Viking.SG	19.368893	41.85779	4	31.672991	2	31.672991	2	0.0	0	59.617309999999996	17.72361	900.0	KrzewinskaCurrentBiology2018	Sweden_Viking.SG	1.0818889999999999	753180	1	Baltic Sea	blue	Agriculture
I0589_all	Tanzania_Zanzibar_1300BP_all	9.434295000000015	34.497696999999995	5	18.14929300000001	2	0.0	0	0.0	0	-6.4	39.5	1335.0	SkoglundCell2017	Tanzania_Zanzibar_1300BP_all	1.9569999999999999	752917	1	East Africa	purple	Foraging
I6760_all.SG	England_N_all.SG	12.8019	17.208698000000012	2	12.8019	1	12.8019	1	0.0	0	51.843407	-1.850443	5770.0	BraceDiekmannNatureEcologyEvolution2019	England_N_all.SG	1.059038	752745	1	Britain	blue	Agriculture
I0867	Israel_PPNB	5.5252	5.5252	1	0.0	0	0.0	0	0.0	0	31.79	35.168	8700.0	LazaridisNature2016	Israel_PPNB	2.0869999999999997	752549	1	Levante	plum	Aceramic Farmer
R73.SG	Italy_Imperial.SG	4.398299	4.398299	1	0.0	0	0.0	0	0.0	0	41.833686900000004	12.468561	1750.0	AntonioGaoMootsScience2019	Italy_Imperial.SG	1.049928	752470	1	Central Italy	blue	Agriculture
I7214	Czech_BellBeaker	0.0	0.0	0	0.0	0	0.0	0	0.0	0	50.410265	14.074597	4200.0	OlaldeNature2018	Czech_BellBeaker	3.7719989999999997	752197	1	Central Europe	blue	Agriculture
CL92	Italy_North_EarlyMedieval_Langobards_son.CL93	0.0	0.0	0	0.0	0	0.0	0	0.0	0	45.0792	7.5783	1345.0	AmorimNatureCommunications2018	Italy_North_EarlyMedieval_Langobards_son.CL93	1.5871629999999999	752159	1	Central Europe	blue	Agriculture
RISE1164.SG	Poland_Koszyce_GAC.SG_son.RISE1170.SG.brother.RISE1164.SG	21.776200000000006	35.421598	3	31.154298999999995	2	21.776200000000006	1	21.776200000000006	1	48.7	21.2	4470.0	SchroederPNAS2019	Poland_Koszyce_GAC.SG_son.RISE1170.SG.brother.RISE1164.SG	1.05169	751938	1	Eastern Europe	blue	Agriculture
I4303	France_MN	39.26600199999999	250.07981600000005	17	224.56721500000003	13	205.396309	11	39.26600199999999	1	43.457	5.8629999999999995	6633.0	OlaldeNature2018	France_MN	3.35	751782	1	Iberia	blue	Agriculture
I4436	Latvia_MN	10.579896000000002	25.957396	3	19.573494000000004	2	0.0	0	0.0	0	56.2833	25.1333	6105.0	MathiesonNature2018	Latvia_MN	3.029	751632	1	Baltic Sea	purple	Foraging
I1634	Armenia_C	16.169714999999975	57.23400799999999	7	25.580114999999967	2	16.169714999999975	1	0.0	0	39.73	45.2	6145.0	LazaridisNature2016	Armenia_C	1.8330000000000002	751435	1	Central Asia	blue	Agriculture
R128.SG	Italy_Imperial.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	41.684979	13.149860999999998	1750.0	AntonioGaoMootsScience2019	Italy_Imperial.SG	1.003743	751413	1	Central Italy	blue	Agriculture
chy002.SG	Russia_Late_Sarmatian.SG	4.2138	4.2138	1	0.0	0	0.0	0	0.0	0	51.06666667	55.06666667	1806.0	KrzewinskaScienceAdvances2018	Russia_Late_Sarmatian.SG	1.248791	750587	1	Steppe	gold	Pastoralism
I13228	Pakistan_IA_Loebanr	0.0	0.0	0	0.0	0	0.0	0	0.0	0	34.75146111	72.40193611	2850.0	NarasimhanPattersonScience2019	Pakistan_IA_Loebanr	1.6826459999999999	750512	1	Central Asia	blue	Agriculture
CP8	Peru_Cuncaicha_4200BP	17.297398999999995	120.96478899999998	14	65.57090299999999	4	65.57090299999999	4	0.0	0	-15.38936111	-72.60822222	4115.0	PosthNakatsukaCell2018	Peru_Cuncaicha_4200BP	3.3139999999999996	750474	1	Andean	purple	Foraging
R11.SG	Italy_Mesolithic.SG	11.844099000000007	151.29708000000005	25	52.29069700000003	5	0.0	0	0.0	0	41.96	13.54	11908.0	AntonioGaoMootsScience2019	Italy_Mesolithic.SG	1.0070709999999998	750119	1	Central Italy	purple	Foraging
I5367	Scotland_BellBeaker	19.161100000000012	27.976604000000005	3	19.161100000000012	1	19.161100000000012	1	0.0	0	56.680948	-6.45982	4255.0	OlaldeNature2018	Scotland_BellBeaker	3.241	750069	1	Britain	blue	Agriculture
M63.SG	Nepal_Mebrak_2125BP.SG	22.859901000000004	43.04580100000001	4	33.25780100000001	2	22.859901000000004	1	22.859901000000004	1	29.2344	83.982202	2125.0	JeongPNAS2016	Nepal_Mebrak_2125BP.SG	1.024	750057	1	Himalaya	blue	Agriculture
I2739_published	Hungary_MN_LBK_published	0.0	0.0	0	0.0	0	0.0	0	0.0	0	46.208562	18.700047	7142.0	LipsonNature2017	Hungary_MN_LBK_published	1.484	749828	1	Balkans	blue	Agriculture
SZ7	Hungary_Langobard	0.0	0.0	0	0.0	0	0.0	0	0.0	0	46.28333333	17.85	1442.0	AmorimNatureCommunications2018	Hungary_Langobard	1.8480990000000002	748887	1	Balkans	blue	Agriculture
DA99.SG	Kyrgyzstan_Medieval_Nomad.SG	4.0776970000000015	4.0776970000000015	1	0.0	0	0.0	0	0.0	0	42.067221999999994	76.962778	791.0	DamgaardNature2018	Kyrgyzstan_Medieval_Nomad.SG	1.389	748435	1	Steppe	gold	Pastoralism
ARS017.A0101	Mongolia_Khovsgol_LBA	8.418500000000009	12.456798999999998	2	8.418500000000009	1	0.0	0	0.0	0	49.657194	99.725778	3229.0	JeongPNAS2018	Mongolia_Khovsgol_LBA	1.629054	747762	1	East Steppe	gold	Pastoralism
I7210	Czech_BellBeaker_father.or.son.I7212	5.747200999999999	5.747200999999999	1	0.0	0	0.0	0	0.0	0	50.410265	14.074597	4070.0	OlaldeNature2018	Czech_BellBeaker_father.or.son.I7212	3.5558449999999997	747429	1	Central Europe	blue	Agriculture
I4441	Latvia_HG	6.361700000000003	19.900894999999995	4	0.0	0	0.0	0	0.0	0	56.2833	25.1333	6725.0	MathiesonNature2018	Latvia_HG	3.5210000000000004	747334	1	Baltic Sea	purple	Foraging
I4313	Uzbekistan_BA_Dzharkutan1	0.0	0.0	0	0.0	0	0.0	0	0.0	0	37.75	67.0	3422.0	NarasimhanPattersonScience2019	Uzbekistan_BA_Dzharkutan1	3.556	747332	1	Central Asia	blue	Agriculture
I2937_all	Greece_Peloponnese_N_all	45.100701	87.169207	6	65.299904	2	65.299904	2	65.299904	2	36.63833333	22.3825	7359.0	LazaridisNature2017	Greece_Peloponnese_N_all	2.02	747172	1	Aegan	blue	Agriculture
I7212	Czech_BellBeaker	0.0	0.0	0	0.0	0	0.0	0	0.0	0	50.410265	14.074597	4280.0	OlaldeNature2018	Czech_BellBeaker	3.560543	747056	1	Central Europe	blue	Agriculture
I4432	Latvia_HG	17.234995999999995	56.81487499999997	5	52.81137399999998	4	34.27698899999999	2	0.0	0	56.2833	25.1333	7948.0	MathiesonNature2018	Latvia_HG	3.7569999999999997	746654	1	Baltic Sea	purple	Foraging
I12470	Pakistan_IA_Katelai	4.408598000000001	4.408598000000001	1	0.0	0	0.0	0	0.0	0	34.76584167	72.34913333	2850.0	NarasimhanPattersonScience2019	Pakistan_IA_Katelai	2.37315	746244	1	Central Asia	blue	Agriculture
I7498	Iberia_Muslim_Zira	0.0	0.0	0	0.0	0	0.0	0	0.0	0			1100.0	OlaldeScience2019	Iberia_Muslim_Zira	1.3268719999999998	746152	1	Iberia	blue	Agriculture
SIJ003	Russia_LateMaikop_1d.rel.I11131.I11133	47.704198999999996	139.2203	7	120.188001	4	120.188001	4	120.188001	4	45.05	39.91	5174.0	WangNatureCommunications2019	Russia_LateMaikop_1d.rel.I11131.I11133	1.875562	745919	1	Steppe	blue	Agriculture
I2934	Scotland_N	17.567105000000005	34.961421000000016	3	28.034921000000026	2	17.567105000000005	1	0.0	0	58.74	-2.9160000000000004	5130.0	OlaldeNature2018	Scotland_N	3.793	745801	1	Britain	blue	Agriculture
I3753	Kazakhstan_LBA_Zevakinskiy	0.0	0.0	0	0.0	0	0.0	0	0.0	0	50.2249	81.83678333	2976.0	NarasimhanPattersonScience2019	Kazakhstan_LBA_Zevakinskiy	1.973	745643	1	Steppe	gold	Pastoralism
Vestonice16	Czech_Vestonice16	24.095399	388.43921100000006	42	268.334103	19	192.958899	12	44.40989500000001	2	48.53	16.39	30010.0	FuNature2016	Czech_Vestonice16	0.9990000000000001	745560	1	Eastern Europe	purple	Foraging
I4434	Latvia_HG	13.578200000000004	48.693997	5	43.639397	4	13.578200000000004	1	0.0	0	56.2833	25.1333	7446.0	MathiesonNature2018	Latvia_HG	3.483	745524	1	Baltic Sea	purple	Foraging
AY2003	Russia_Steppe_Maikop	24.16919500000001	72.37149200000002	5	68.08439200000001	4	59.22579500000001	3	24.16919500000001	1	45.68833	43.26458	5456.0	WangNatureCommunications2019	Russia_Steppe_Maikop	2.386165	745293	1	Steppe	blue	Agriculture
I4351	Iran_C_HajjiFiruz	0.0	0.0	0	0.0	0	0.0	0	0.0	0	36.9944	45.4744	7925.0	NarasimhanPattersonScience2019	Iran_C_HajjiFiruz	2.8710000000000004	745071	1	Central Asia	blue	Agriculture
I2514	Iran_C_TepeHissar	11.788093999999983	28.111092999999986	3	21.95029799999999	2	0.0	0	0.0	0	36.15444444	54.38361111	4341.0	NarasimhanPattersonScience2019	Iran_C_TepeHissar	5.553999999999999	745066	1	Central Asia	blue	Agriculture
I4552	Latvia_HG	18.342799000000007	44.637798	4	33.434796	2	33.434796	2	0.0	0	56.2833	25.1333	7377.0	MathiesonNature2018	Latvia_HG	4.1739999999999995	744989	1	Baltic Sea	purple	Foraging
I7281	Czech_BellBeaker	8.4034	23.720804000000008	4	8.4034	1	0.0	0	0.0	0	50.044984	14.339296	4192.0	OlaldeNature2018	Czech_BellBeaker	3.510991	744708	1	Central Europe	blue	Agriculture
I6766.SG	Scotland_N.SG	10.035903000000003	14.449203000000002	2	10.035903000000003	1	0.0	0	0.0	0	57.907315000000004	-3.9968269999999997	5100.0	BraceDiekmannNatureEcologyEvolution2019	Scotland_N.SG	1.3091469999999998	744205	1	Britain	blue	Agriculture
SA6001	Russia_Steppe_Maikop	10.536997999999997	10.536997999999997	1	10.536997999999997	1	0.0	0	0.0	0	45.725651	43.986933	5444.0	WangNatureCommunications2019	Russia_Steppe_Maikop	2.570906	743648	1	Steppe	blue	Agriculture
OBKR_80	Germany_Lech_EBA	0.0	0.0	0	0.0	0	0.0	0	0.0	0	48.26656	10.87857	3997.0	MittnikScience2019	Germany_Lech_EBA	2.13532	742188	1	Central Europe	blue	Agriculture
LON001	Sar-EMBA	6.6334010000000045	6.6334010000000045	1	0.0	0	0.0	0	0.0	0	39.87	9.2356	3780.0	Marcus et al. 2018	Sar-EMBA	2.51339221000671	741214	1	Sardinia	blue	Agriculture
I2380	Hungary_MN_ALPc_Szatmar	4.908095999999995	4.908095999999995	1	0.0	0	0.0	0	0.0	0	47.78134	20.58258	7350.0	LipsonNature2017	Hungary_MN_ALPc_Szatmar	2.283	740659	1	Eastern Europe	blue	Agriculture
I7283	Czech_BellBeaker_mother.I7282	0.0	0.0	0	0.0	0	0.0	0	0.0	0	50.410265	14.074597	4200.0	OlaldeNature2018	Czech_BellBeaker_mother.I7282	3.0971740000000003	740433	1	Central Europe	blue	Agriculture
I7494	Uzbekistan_BA_SappaliTepe2	0.0	0.0	0	0.0	0	0.0	0	0.0	0	37.41666667	66.83333333	3897.0	NarasimhanPattersonScience2019	Uzbekistan_BA_SappaliTepe2	1.303608	740205	1	Central Asia	blue	Agriculture
DA230.SG	Kazakhstan_Karluk.SG	0.0	0.0	0	0.0	0	0.0	0	0.0	0	43.06861111	68.24888889	1100.0	DamgaardNature2018	Kazakhstan_Karluk.SG	1.275	740013	1	Steppe	gold	Pastoralism
ARS001.A0101	Mongolia_Khovsgol_LBA	4.751701000000008	17.468495	4	0.0	0	0.0	0	0.0	0	49.656833	99.726694	2883.0	JeongPNAS2018	Mongolia_Khovsgol_LBA	1.4927	739937	1	East Steppe	gold	Pastoralism
SUC009	Sar-EMBA	0.0	0.0	0	0.0	0	0.0	0	0.0	0	40.810297	8.444177999999999	3710.0	Marcus et al. 2018	Sar-EMBA	1.5126549005508405	739706	1	Sardinia	blue	Agriculture
Gokhem2.SG	Sweden_TRB_MN.SG	32.812098	32.812098	1	32.812098	1	32.812098	1	32.812098	1	58.175321999999994	13.406770000000002	4850.0	SkoglundScience2014	Sweden_TRB_MN.SG	1.5490000000000002	739545	1	Baltic Sea	blue	Agriculture
I7213	Czech_BellBeaker	0.0	0.0	0	0.0	0	0.0	0	0.0	0	50.410265	14.074597	4267.0	OlaldeNature2018	Czech_BellBeaker	3.5233440000000003	739544	1	Central Europe	blue	Agriculture
MonteGato104.SG	Iberia_MBA.SG	9.244198000000004	9.244198000000004	1	9.244198000000004	1	0.0	0	0.0	0			3535.0	MartinianoPLoSGenetics2017	Iberia_MBA.SG	1.167729	739513	1	Iberia	blue	Agriculture
I0014	Sweden_HG_Motala	14.475917999999988	72.36652199999995	11	23.72281799999999	2	14.475917999999988	1	0.0	0	58.535	15.046	7703.0	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	Sweden_HG_Motala	2.7089999999999996	739313	1	Baltic Sea	purple	Foraging
SUA001	Sar-Nur	0.0	0.0	0	0.0	0	0.0	0	0.0	0	39.87	9.2356	3270.5	Marcus et al. 2018	Sar-Nur	2.56035208702087	738996	1	Sardinia	blue	Agriculture
I3759	Iberia_Celtiberian	0.0	0.0	0	0.0	0	0.0	0	0.0	0	42.565	-2.58635	2228.0	OlaldeScience2019	Iberia_Celtiberian	1.875	738525	1	Iberia	blue	Agriculture
I2431	Bulgaria_C	9.0796	29.988402000000008	5	9.0796	1	0.0	0	0.0	0	43.09916667	26.71944444	6615.0	MathiesonNature2018	Bulgaria_C	2.444	738279	1	Balkans	blue	Agriculture
I4321	Kazakhstan_MLBA_KazakhMys	7.843588999999995	28.28479599999999	5	0.0	0	0.0	0	0.0	0	46.94785	79.98808333	3534.0	NarasimhanPattersonScience2019	Kazakhstan_MLBA_KazakhMys	3.6510000000000002	737799	1	Steppe	gold	Pastoralism
NEO248.SG	Ekven_IA.SG	23.487496	121.30509099999996	16	46.935296	3	35.99839499999999	2	23.487496	1	66.0	-170.1	2115.0	SikoraNature2019	Ekven_IA.SG	1.023051	737447	1	Bering Sea	purple	Foraging
RISE685.SG	Russia_BA_Okunevo.SG	5.320608999999998	14.555306000000012	3	0.0	0	0.0	0	0.0	0	53.708560999999996	90.359808	4300.0	DamgaardScience2018	Russia_BA_Okunevo.SG	1.3	737228	1	Steppe	gold	Pastoralism
I3585	Iberia_Visigoth_Granada	0.0	0.0	0	0.0	0	0.0	0	0.0	0			1179.0	OlaldeScience2019	Iberia_Visigoth_Granada	2.612	736749	1	Iberia	blue	Agriculture
ARS006.A0101	Mongolia_Khovsgol_LBA	15.511802000000005	15.511802000000005	1	15.511802000000005	1	15.511802000000005	1	0.0	0	49.690139	99.760694	3013.0	JeongPNAS2018	Mongolia_Khovsgol_LBA	1.400376	736368	1	East Steppe	gold	Pastoralism
I11540_published	Kazakhstan_LIA_Georgievsky_published	0.0	0.0	0	0.0	0	0.0	0	0.0	0	50.4501	57.04005556	1765.0	NarasimhanPattersonScience2019	Kazakhstan_LIA_Georgievsky_published	2.798855	736318	1	Steppe	gold	Pastoralism
